label,
ideas,"""People have the wrong idea about math and the benefit of learning math. """
ideas,"""Humans are naturally bi """
ideas,"""Growing older is not the curse people make it out to be. It's actually a blessing. """
ideas,"""In sports, there's no point in absolutely thrashing a demonstrably weaker team. Just do enough to win."""
ideas,"""The massive fear of being ""cringe"" is one of the biggest enemies of creativity. """
ideas,"""Unconditional love is the biggest lie """
ideas,"""The era of acceptance has created an opposite effect """
ideas,"""Quitting your job to chase a dream should be encouraged"""
ideas,"""Making friends in your 30s is not as hard as everyone claims it to be"""
ideas,"""Toxic Fandoms are inevitable sign of excellence and should be encouraged """
ideas,"""Everyone should be an archivist """
ideas,"""People who fantasize about living through an apocalypse or growing up in primitive times have no idea how ass living in times like that would actually be. """
ideas,"""The word ""dystopia"" is so overused that it detracts from the validity of otherwise valid points."""
ideas,"""Being dependent on cellphones isnt as big an issue as many think"""
ideas,"""Not every friendship is supposed to last forever. """
ideas,"""Darth Vader was justified and the jedi order was wrong from the beginning. """
ideas,"""Having fewer choices makes people happier"""
ideas,"""It’s rude to just slowly walk across an intersection when cars at a light/stop sign are waiting to turn."""
ideas,"""“The heart wants what it wants” is just an excuse for awful romantic choices """
ideas,"""To not stay current with technology is a moral failure """
ideas,"""I believe Wicked was completely ruined because it was casted with ""star-power"" rather than newer, undiscovered talent. I also think it would have grossed more money without the stars too."""
ideas,"""Half the bad decisions in the world happen just because someone wanted a power trip. """
ideas,"""Life is 90% how you take it and 10% how you make it. """
ideas,"""Marriage isn't bad and the people who say it is just don't know how to maintain a relationship """
ideas,"""Advertisements should be allowed to curse """
ideas,"""Friendzone is absolutely real """
ideas,"""The “Doghouse” Is Just a Cute Name for Having No Backbone in Your Relationship """
ideas,"""Life would be generally improved if people were taught statistics better """
ideas,"""Grammar nazis are annoying, but your proclamation is far too broad. It's akin to saying ""as long as you can get from point a to point b, it doesn't matter if the road is bumpy, the speed limits make no sense and the road signs are confusing"""""
ideas,"""The whole “watching someone sleep” trope is not very creepy at all"""
ideas,"""Okay but usually it's someone invading someone else's space to do it, like Edward in Twilight, that's the creepy part."""
ideas,""" Blind/deaf jokes are BORING """
ideas,"""The era of acceptance has created an opposite effect"""
ideas,"
""I definitely believe that the more we label ourselves and each other we are splitting ourselves. Just look at how the us has become as a nation. This has definitely become more split as time passes. A lot of groups and people have been if you are not with me you are against me. Dropping family and loved ones just because they think or act differently than they themselves do. It’s sickening."""
ideas,""" In a rarity for this sub, this is actually well thought out."""
ideas,"""Being 10 minutes early is just as inconsiderate as being 10 minutes late. """
ideas,"""Exercise should be prescribed with the same seriousness as medication. """
ideas,"""No one understands what introvert and extrovert mean. """
ideas,"""Asking if something is homemade or 'Did you make it yourself?' is an insult """
ideas,"""The Idea That ""Nobody Will Love You If You Don't Love Yourself"" Is Toxic """
ideas,"""We’ve reached a point where basic manners get labeled as ‘being a kiss-ass. """
ideas,"""If you do a kind thing for someone, telling the whole world about it erases the good deed. """
ideas,"""Cutting people off without a conversation isn't a sign of growth, healing, or protecting your peace. It's just avoiding communication. """
ideas,"""You should always buy the cheapest version of a tool or hobby item first. """
ideas,"""Subtitles take away from movies heavily """
ideas,"""People don't understand assumptions. """
ideas,"""People are results oriented. Commonly seen in gambling as well. """
ideas,"""Your comment somehow reads equal parts cringe, wannabe ""hype man"", and ""hello fellow kids"" in such a short sentence. I don't know how you did it."""
ideas,"""I feel like a lot of that is because it’s been forced on us, creating the dislike for it  "
ideas,"""People who say I'm a good judge of character are almost always the easiest people to manipulate. """
objects,"""A datacenter moving into your neighborhood is fine """
objects,"""Hot bus changes everything. I have smelled Popeye’s on the bus and felt deep hatred I’m so sorry Popeye it was the bus"""
objects,"""If locally-owned grocery stores want your money, they need to provide comparable prices to the corporations. """
objects,"""Chicago has a better cityscape than New York City """
objects,"""Iceberg is the worst lettuce"""
objects,"""You don’t understand architecture is not a valid defense of ugly buildings"""
objects,"""Vehicle Classes Are Ultra Important When OffRoading and Modifying Vehicles"""
objects,"""Possums are Cute!!! """
objects,"""Iron Lung and The Backrooms only did as well as they did because YouTubers made them."""
objects,"""McDonald's coffee is better than Starbucks"""
objects,"""Golf and tennis should not be 'silent' sports."""
objects,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere"""
objects,"""Big weddings are worth it. """
objects,"""BLUE DENIM IS NOT A NEUTRAL!!!!!! """
objects,"""Gift cards are one of the best gifts to recieve """
objects,"""McDonalds is the best fast food for losing weight. """
objects,Watching TV is always better in darkness than in light. 
objects,"""What's the most powerfully useful underground website that most people don't know about?"""
objects,"""Electron apps are completely adequate """
objects,"""Relaxing on a beach is horrible """
objects,"""Boiled eggs are the worst form of egg """
objects,"""The egg wgite doesn't have to be rubbery. The yolk doesn't have to be solid. Eggs can be boild a few ways and hard isn't one of them."""
objects,"""Instead of faster and faster PC hardware, we should fix screen technology to get more out of our gaming pc's"""
objects,"""It's not the old people, it's the overcomplicated new tech """
objects,"""Fresh cut flowers are a nightmarish waste of time and resources, and are not worth the aesthetics """
objects,"""All Houses should be Worth Millions "
objects,"""No-kill Animal Shelters have hobbled the ability of Animal Control to actually 'control' this problem. """
objects,"""Sports has to be most wasteful thing ever for society """
objects,"""Raisins are superior to chocolate chips in any sweet bake """
objects,"""Pimple patches look more gross than the pimple itself """
objects,"""Travelling abroad to only end up partying is pointless """
objects,"""Cloth car seats are better than leather. """
objects,"""Chocolate is the worst flavour """
objects,"""It's ok to like well done steak """
objects,"""American BBQ side salads taste better mixed """
objects,"""Hide and Seek as a game kinda sucks """
objects,"""All incense smells the same when you burn it. """
objects,"""Hide and Seek as a game kinda sucks"""
objects,"""Hotels Shouldn’t Have Bathtubs """
objects,"""We don't need light rail, or streetcars - we have buses, and you're just too classist to use them """
objects,"""after freshly baked, the best way to eat a croissant is microwaved"""
objects,"""Frosting is disgusting """
objects,"""Mega City views are more unique and thus beautiful than natural views """
objects,"""I recommend trying them in an Arab country, if you can’t, get an arab video tutorial on how to cook them and turn it on subtitles follow the instructions very clearly on how to cook them """
objects,"""Early 2000s metalcore is superior to modern metalcore """
