,People,This label represents opinions about humans or human behavior.,
,Object,"This label evaluates a concrete, consumable, or experienceable thing.",
,Systems,"This labels defines posted opinions about organized structures in society that often include institutions, rules, systems, social structures. Example post:",
,Ideas,"The opinion directly evaluates an abstract belief, value, or claim about truth.",
,,,
,,,
Label,CH answers,Post or comment,notes
,,,
objects,Object,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere """,
,,,
objects,Object,"""Hot bus changes everything. I have smelled Popeye’s on the bus and felt deep hatred I’m so sorry Popeye it was the bus""",
,,,
systems,Systems,"""It's July, have you started your Christmas shopping yet?""",
,,,
ideas,Systems,"""People have the wrong idea about math and the benefit of learning math. """,was confused if it was about  an idea or people 
,,,
ideas,People,"""Humans are naturally bi """, is this an idea about sexuallity or about people being bisexual 
,,,
Ideas,Ideas,"""Growing older is not the curse people make it out to be. It's actually a blessing. """,
,,,
people,Ideas,"""People who hog overhead bins with personal items and small bags are ruining flights for everyone.""",
,,,
objects,Systems,"""If locally-owned grocery stores want your money, they need to provide comparable prices to the corporations. """,
,,,
people,People,"""Women get shamed for spending money on skincear but nobody says anything when men drop thousands on sneakers, gaming setups, or golf clubs """,
,,,
objects,Ideas,"""Chicago has a better cityscape than New York City """,
,,,
ideas,People,"""In sports, there's no point in absolutely thrashing a demonstrably weaker team. Just do enough to win.""",
,,,
ideas,Ideas,"""The massive fear of being ""cringe"" is one of the biggest enemies of creativity. """,
,,,
ideas,Ideas,"""Unconditional love is the biggest lie """,
,,,
ideas,Ideas,"""The era of acceptance has created an opposite effect """,
,,,
systems,Ideas,"""I don't like holidays""",is this about people or a system of things
,,,
objects,Ideas,"""Iceberg is the worst lettuce""",
,,,
objects,Ideas,"""You don’t understand architecture is not a valid defense of ugly buildings""",is this about people understanding or the object itself?
,,,
ideas,Ideas,"""Quitting your job to chase a dream should be encouraged""",
,,,
objects,Ideas,"""Vehicle Classes Are Ultra Important When OffRoading and Modifying Vehicles""",
,,,
ideas,Ideas,"""Making friends in your 30s is not as hard as everyone claims it to be""",
,,,
objects,Objects,"""Possums are Cute!!! """,
,,,
objects ,Ideas,"""All businesses should prioritize stalls over urinals """,
,,,
ideas ,Ideas,"""Being 10 minutes early is just as inconsiderate as being 10 minutes late. """,
,,,
people,Ideas,"""The only reason we are unhappy is that we constantly compare ourselves to others """,is this an idea about people or people behavior 
,,,
objects,Ideas,"""Iron Lung and The Backrooms only did as well as they did because YouTubers made them.""",?
,,,
ideas,Objects,"""Toxic Fandoms are inevitable sign of excellence and should be encouraged """,
,,,
objects,Ideas,"""McDonald's coffee is better than Starbucks""",
,,,
ideas,Ideas,"""Everyone should be an archivist """,
,,,
people,People,"""When I ask a question on a help forum, I don’t want to be texted a youtube video and told “Just watch this” .""",
,,,
ideas,Ideas,"""People who fantasize about living through an apocalypse or growing up in primitive times have no idea how ass living in times like that would actually be. """,
,,,
objects,Objects,"""Golf and tennis should not be 'silent' sports.""",
,,,
people,,"""You can always tell when the guitarist writes a song """, is this about a guitar or the person playing?
,,,
people,,"""I Don't Think Artists Own ""Art Styles"". """,
,,,
ideas,,"""The word ""dystopia"" is so overused that it detracts from the validity of otherwise valid points.""",
,,,
ideas,,"""Being dependent on cellphones isnt as big an issue as many think""",
,,,
objects,,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere""",
,,,
ideas ,,"""Exercise should be prescribed with the same seriousness as medication. """,
,,,
